NumIters,Seconds,LearningRate,accuracy,softmax_loss
0.0,28.269047,0.01,0.925781,5.02597
1000.0,253.678615,0.01,0.9375,4.82484
2000.0,509.242818,0.01,0.949219,4.05836
3000.0,764.912128,0.01,0.9375,4.13285
4000.0,993.341137,0.01,0.941406,4.26122
5000.0,1249.579034,0.01,0.964844,3.85581
6000.0,1505.9252,0.01,0.953125,3.8085
7000.0,1733.88344,0.01,0.917969,3.86746
8000.0,1989.903682,0.01,0.960938,4.23397
9000.0,2246.559191,0.01,0.976562,3.52649
10000.0,2475.649272,0.01,0.941406,4.0741
11000.0,2732.541328,0.01,0.980469,3.99651
12000.0,2989.239146,0.01,0.960938,4.2541
13000.0,3217.400038,0.01,0.972656,3.86355
14000.0,3474.022439,0.01,0.96875,3.60423
15000.0,3730.495622,0.01,0.957031,3.58517
16000.0,3958.903858,0.01,0.976562,3.75064
17000.0,4215.283548,0.01,0.957031,3.61669
18000.0,4471.324558,0.01,0.964844,3.98338
19000.0,4699.974644,0.01,0.964844,3.79801
20000.0,4957.250351,0.01,0.964844,4.02074
21000.0,5213.709239,0.001,0.964844,3.45894
22000.0,5441.784276,0.001,0.980469,3.1943
23000.0,5697.919612,0.001,0.980469,3.37622
24000.0,5954.589666,0.001,0.96875,3.63631
25000.0,6182.447114,0.001,0.960938,3.40943
26000.0,6439.0288,0.001,0.980469,3.53983
27000.0,6695.417907,0.001,0.96875,3.52915
28000.0,6923.495034,0.001,0.964844,3.49305
29000.0,7180.202714,0.001,0.976562,3.39651
30000.0,7437.471913,0.001,0.972656,3.32106
31000.0,7665.587606,0.001,0.960938,3.64038
32000.0,7922.031376,0.001,0.964844,3.37646
33000.0,8179.048177,0.001,0.953125,3.2809
34000.0,8407.087337,0.001,0.972656,3.28926
35000.0,8663.530887,0.001,0.964844,3.05913
36000.0,8920.048853,0.001,0.949219,3.14281
37000.0,9148.143965,0.001,0.980469,3.23443
38000.0,9405.028358,0.001,0.976562,3.29982
39000.0,9661.366529,0.001,0.960938,3.38282
40000.0,9890.791756,0.001,0.972656,3.51708
41000.0,10147.419585,0.0001,0.96875,3.36657
42000.0,10403.368556,0.0001,0.964844,3.22913
43000.0,10631.524318,0.0001,0.976562,3.12183
44000.0,10888.247285,0.0001,0.972656,3.10066
45000.0,11144.641984,0.0001,0.984375,3.10769
46000.0,11372.605386,0.0001,0.945312,3.2311
47000.0,11629.168208,0.0001,0.960938,3.2504
48000.0,11886.077346,0.0001,0.957031,3.37158
49000.0,12113.806175,0.0001,0.96875,3.19924
50000.0,12370.835564,0.0001,0.964844,3.1365
51000.0,12627.381522,0.0001,0.96875,3.14765
52000.0,12855.23026,0.0001,0.96875,2.98268
53000.0,13111.430764,0.0001,0.980469,2.9221
54000.0,13367.857443,0.0001,0.96875,3.10434
55000.0,13595.874746,0.0001,0.980469,3.26453
56000.0,13852.636533,0.0001,0.96875,2.81949
57000.0,14109.038538,0.0001,0.953125,3.0336
58000.0,14337.358308,0.0001,0.984375,3.00224
59000.0,14593.802642,0.0001,0.976562,3.29158
60000.0,14850.534796,0.0001,0.972656,3.19459
61000.0,15078.60722,1e-05,0.980469,3.00264
62000.0,15335.44673,1e-05,0.972656,3.36439
63000.0,15592.083866,1e-05,0.988281,3.3068
64000.0,15819.74211,1e-05,0.984375,2.86432
65000.0,16076.216326,1e-05,0.984375,3.25217
66000.0,16332.897518,1e-05,0.960938,3.24492
67000.0,16561.002789,1e-05,0.984375,2.95247
68000.0,16817.665812,1e-05,0.976562,3.37934
69000.0,17074.12465,1e-05,0.972656,3.34494
70000.0,17302.692991,1e-05,0.984375,3.22064
71000.0,17559.254863,1e-05,0.949219,3.35464
72000.0,17815.662077,1e-05,0.964844,3.38026
73000.0,18043.846705,1e-05,0.976562,2.92652
74000.0,18300.316612,1e-05,0.972656,3.1505
75000.0,18556.993316,1e-05,0.984375,2.9213
76000.0,18784.885989,1e-05,0.980469,3.39058
77000.0,19041.503028,1e-05,0.960938,3.28458
78000.0,19298.467835,1e-05,0.996094,2.89945
79000.0,19526.500695,1e-05,0.976562,3.24999
80000.0,19783.734546,1e-05,0.988281,2.98607
81000.0,20040.458902,1e-06,0.988281,3.07597
82000.0,20268.608441,1e-06,0.988281,3.21716
83000.0,20525.069261,1e-06,0.972656,3.49212
84000.0,20781.184702,1e-06,0.964844,3.22335
85000.0,21009.621541,1e-06,0.976562,2.93593
86000.0,21266.130813,1e-06,0.972656,3.34355
87000.0,21522.730129,1e-06,0.960938,3.0525
88000.0,21750.85991,1e-06,0.988281,2.79925
89000.0,22007.002602,1e-06,0.960938,3.16216
90000.0,22263.85418,1e-06,0.96875,3.073
91000.0,22491.613789,1e-06,0.957031,3.0619
92000.0,22747.644596,1e-06,0.972656,3.25638
93000.0,23004.354776,1e-06,0.980469,3.20635
94000.0,23232.557726,1e-06,0.972656,3.17779
95000.0,23489.164083,1e-06,0.972656,3.09535
96000.0,23745.528884,1e-06,0.96875,2.98759
97000.0,23973.311472,1e-06,0.992188,3.04217
98000.0,24230.06898,1e-06,0.980469,3.00603
99000.0,24486.920879,1e-06,0.980469,3.09914
100000.0,24715.298898,1e-06,0.972656,3.08606
101000.0,24972.315238,1e-07,0.96875,3.1532
102000.0,25228.381443,1e-07,0.96875,3.12937
103000.0,25456.243035,1e-07,0.976562,3.25862
104000.0,25712.306036,1e-07,0.988281,3.16472
105000.0,25968.809309,1e-07,0.984375,3.11721
106000.0,26196.687868,1e-07,0.976562,3.27302
107000.0,26452.932358,1e-07,0.964844,3.06431
108000.0,26709.250491,1e-07,0.976562,3.23895
109000.0,26937.69343,1e-07,0.980469,2.95357
110000.0,27193.688004,1e-07,0.988281,2.87337
111000.0,27449.9878,1e-07,0.964844,3.36382
112000.0,27678.022486,1e-07,0.984375,2.77058
113000.0,27934.688612,1e-07,0.953125,3.22117
114000.0,28190.857455,1e-07,0.972656,2.99953
115000.0,28418.764871,1e-07,0.972656,3.23884
116000.0,28675.332682,1e-07,0.957031,3.66372
117000.0,28931.799667,1e-07,0.992188,3.29387
118000.0,29159.654753,1e-07,0.984375,2.97528
119000.0,29415.828212,1e-07,0.988281,2.95558
120000.0,29673.362562,1e-07,0.96875,3.31245
121000.0,29901.622952,1e-08,0.96875,3.18471
122000.0,30158.471143,1e-08,0.957031,3.12073
123000.0,30414.917681,1e-08,0.980469,3.23978
124000.0,30642.855594,1e-08,0.964844,2.99259
125000.0,30899.825874,1e-08,0.964844,2.93563
126000.0,31156.09477,1e-08,0.976562,3.15773
127000.0,31384.440451,1e-08,0.976562,2.64573
128000.0,31640.908008,1e-08,0.976562,3.1751
129000.0,31897.104925,1e-08,0.972656,3.2292
130000.0,32125.577009,1e-08,0.960938,3.49606
131000.0,32381.822904,1e-08,0.980469,3.03809
132000.0,32638.500463,1e-08,0.984375,2.91364
133000.0,32866.749928,1e-08,0.96875,3.56071
134000.0,33123.211316,1e-08,0.96875,3.11094
135000.0,33379.449282,1e-08,0.976562,3.0058
136000.0,33607.410764,1e-08,0.976562,2.99044
137000.0,33864.271083,1e-08,0.980469,3.1516
138000.0,34120.868675,1e-08,0.96875,3.49038
139000.0,34348.774786,1e-08,0.960938,3.0812
140000.0,34605.355248,1e-08,0.972656,3.21189
141000.0,34861.615338,1e-09,0.980469,3.11979
142000.0,35089.434505,1e-09,0.976562,2.99427
143000.0,35346.008615,1e-09,0.980469,3.29864
144000.0,35602.533875,1e-09,0.953125,2.96811
145000.0,35830.638623,1e-09,0.972656,3.24853
146000.0,36087.144907,1e-09,0.980469,3.15592
147000.0,36343.419204,1e-09,0.972656,3.02684
148000.0,36571.536959,1e-09,0.976562,3.14434
149000.0,36828.23026,1e-09,0.960938,3.27275
150000.0,37084.467014,1e-09,0.960938,3.32425
151000.0,37312.171314,1e-09,0.976562,3.18128
152000.0,37569.038905,1e-09,0.96875,3.28575
153000.0,37826.242579,1e-09,0.957031,3.11021
154000.0,38054.107303,1e-09,0.972656,3.20652
155000.0,38310.806432,1e-09,0.976562,3.39336
156000.0,38567.194254,1e-09,0.980469,3.03417
157000.0,38795.478611,1e-09,0.984375,3.07259
158000.0,39051.558643,1e-09,0.964844,3.13135
159000.0,39308.152002,1e-09,0.976562,3.10133
160000.0,39537.268607,1e-09,0.972656,3.33465
161000.0,39793.33244,1e-10,0.972656,3.23367
162000.0,40050.436815,1e-10,0.976562,3.06435
163000.0,40278.303679,1e-10,0.984375,3.18984
164000.0,40534.970807,1e-10,0.964844,3.21616
165000.0,40791.557791,1e-10,0.972656,3.03402
166000.0,41019.469957,1e-10,0.988281,2.77986
167000.0,41275.997708,1e-10,0.972656,3.45462
168000.0,41532.429724,1e-10,0.96875,3.1077
169000.0,41760.650234,1e-10,0.972656,3.33331
170000.0,42018.099495,1e-10,0.984375,2.80767
171000.0,42274.543859,1e-10,0.976562,3.39229
172000.0,42502.690615,1e-10,0.976562,3.11648
173000.0,42759.739471,1e-10,0.964844,3.06463
174000.0,43015.919468,1e-10,0.96875,2.86709
175000.0,43244.007398,1e-10,0.984375,3.02627
176000.0,43500.367848,1e-10,0.957031,3.68482
177000.0,43757.022694,1e-10,0.964844,3.07522
178000.0,43984.823551,1e-10,0.96875,3.28615
179000.0,44241.255139,1e-10,0.976562,3.24427
